Artifact_ID,Image_URL,Source_Link
1,https://drive.google.com/file/d/14VzqRxSXXCY45aqIlkN96CEQOcrl2gm0/view?usp=sharing,https://bangladeshmuseum.gov.bd/pages/photo-galleries/%E0%A7%A7%E0%A7%A6%E0%A7%A6-%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%A6%E0%A6%B6%E0%A6%A8-%E0%A6%B8%E0%A6%82%E0%A6%96%E0%A7%8D%E0%A6%AF%E0%A6%BE-360f62-6922dda281fc96cef9ec0e6e
2,https://drive.google.com/file/d/1LA7dq8ChaVnssHV2YvA4YKVAUfVMdvKD/view?usp=sharing,https://bangladeshmuseum.gov.bd/pages/photo-galleries/%E0%A7%A7%E0%A7%A6%E0%A7%A6-%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%A6%E0%A6%B6%E0%A6%A8-%E0%A6%B8%E0%A6%82%E0%A6%96%E0%A7%8D%E0%A6%AF%E0%A6%BE-360f62-6922dda281fc96cef9ec0e6e
3,https://drive.google.com/file/d/1TAEz1Zp-aJQJgFuV0tGa6L2IJYkcwvJC/view?usp=sharing,https://commons.wikimedia.org/wiki/File:Bengal_Sultanate_helmet.jpg
4,https://drive.google.com/file/d/1r8KZmHNfjrVeiR1T3hBTLGuU529NOk2Z/view?usp=sharing,https://bangladeshmuseum.gov.bd/pages/photo-galleries/%E0%A7%A7%E0%A7%A6%E0%A7%A6-%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%A6%E0%A6%B6%E0%A6%A8-%E0%A6%B8%E0%A6%82%E0%A6%96%E0%A7%8D%E0%A6%AF%E0%A6%BE-360f62-6922dda281fc96cef9ec0e6e
6,https://imp-art.org/wp-content/uploads/2026/05/1.-Famine-Sketch-1943-Black-ink-on-paper-42-x-58.5-cm-Bangladesh-National-Museum-collection.jpg-1-e1778825330254.jpeg,https://imp-art.org/perspectives/dispatches/the-artist-as-witness-zainul-abedins-famine-sketches/
7,https://drive.google.com/file/d/1-aIsSIeQf4dLb-z1RIFrzSn88n-nTrF7/view?usp=sharing,https://bengalfoundation.org/featured-artist/zainul-abedin-2/
8,https://drive.google.com/file/d/1TRn5ZAWEaFtJnNSFUKo911rCXOtFLMWD/view?usp=sharing,https://bengalfoundation.org/featured-artist/zainul-abedin-2/
9,https://drive.google.com/file/d/1N4jNLzHz9NNAT7zYUC099y90U1BtLq72/view?usp=sharing,https://archive.org/details/sanskrit-and-bengali-manuscripts-in-bangladesh-national-museum-pt-1/Sanskrit%20and%20Bengali%20manuscripts%20in%20Bangladesh%20National%20Museum%20Pt-1/page/62/mode/2up
10,https://drive.google.com/file/d/1hpRaDmn9P5sUI31TUL8y7cJgdZEDy_Y2/view?usp=sharing,pdf
14,https://drive.google.com/file/d/1MJHD_I-Sn7PZUNiGnhfyNQfTyDni4zXY/view?usp=sharing,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
