Artifact_ID,Donor_ID
4,1
5,2
6,3
7,4
8,4
9,5
10,6
11,6
12,6
13,6
14,6
15,6
18,4
19,4
20,4
21,4
22,4
23,7
24,6
27,8
28,9
30,6
31,6
32,6
33,6
34,6
35,10
36,6
37,6
38,6
39,6
40,6
41,6
42,6
43,6
44,6
45,6
46,6
47,6
48,6
51,6
53,6
54,6
55,6
56,6
57,6
58,6
59,6
60,6
61,6
62,6
63,6
64,6
65,6
66,6
67,6
68,6
69,6
70,6
71,6
72,6
73,6
74,6
75,6
76,6
77,6
78,6
79,6
80,6
81,6
82,6
83,6
84,6
85,6
86,6
87,6
88,6
89,6
90,6
91,6
92,6
93,6
94,6
95,6
96,6
129,11
131,12
150,13
152,14
175,15
175,16
176,15
177,15
177,17
178,15
179,18
180,19
181,15
181,17
182,15
183,15
184,20
185,16
185,15
186,15
187,15
188,21
189,21
190,21
191,21
192,15
192,17
193,15
194,22
195,23
195,24
196,25
197,26
197,27
197,28
198,29
199,30
200,31
201,32
202,33
203,31
204,34
204,35
205,36
205,37
206,31
206,38
207,39
208,31
208,40
209,41
209,42
210,43
210,31
211,44
212,45
213,46
214,47
215,48
216,49
216,50
217,51
218,52
219,53
220,54
221,55
221,56
222,57
222,58
223,59
223,60
224,31
224,61
225,62
225,63
226,64
226,65
227,66
228,67
228,68
229,69
230,70
231,70
232,70
233,70
234,70
235,70
236,70
237,70
238,71
239,70
240,70
241,70
242,70
243,70
244,70
245,70
246,70
247,71
248,72
249,73
250,74
251,75
251,76
252,70
253,77
254,78
255,70
256,70
257,71
258,79
259,80
260,81
261,82
262,83
263,84
264,85
265,86
266,87
267,72
268,88
269,6
270,89
271,90
272,6
273,83
274,6
275,6
276,91
277,92
278,93
279,6
280,94
281,95
282,96
283,83
284,97
285,79
286,98
287,6
288,99
289,100
290,100
291,100
292,100
293,100
294,100
295,100
296,100
297,100
298,100
298,101
302,100
303,100
304,102
304,103
305,100
306,104
307,105
309,106
310,107
310,108
311,109
312,110
313,100
314,100
315,100
316,111
317,112
317,113
319,2
320,114
321,115
322,116
323,117
324,118
325,119
326,120
327,2
328,121
329,122
330,123
331,124
332,125
332,35
333,126
334,127
335,128
336,129
337,130
338,131
339,132
340,133
341,134
342,135
343,136
363,137
364,137
365,137
366,137
367,137
368,137
369,138
370,137
371,137
372,139
373,140
374,141
375,142
375,143
376,144
377,145
378,146
379,147
380,148
381,149
382,150
383,139
383,151
384,152
384,143
385,152
385,143
386,153
387,153
388,154
389,154
390,155
391,156
392,157
393,158
394,159
395,159
396,159
397,160
397,161
397,162
398,163
398,164
399,165
399,143
400,159
401,157
402,157
403,166
403,167
404,166
404,167
405,168
406,169
406,170
407,171
408,172
409,147
552,173
553,173
554,173
555,173
556,173
557,173
558,173
559,173
560,173
561,173
562,173
563,173
564,173
565,173
566,173
567,173
568,173
569,173
570,173
571,173
572,173
573,173
574,173
575,173
576,173
577,173
578,173
579,173
580,174
580,175
581,173
582,176
583,173
584,173
585,173
586,173
587,173
588,173
589,173
590,173
591,173
592,173
593,177
594,178
595,173
596,173
597,173
598,173
599,179
600,173
601,173
602,173
603,173
604,173
605,173
606,173
607,173
608,180
609,180
610,180
611,180
612,180
613,180
614,180
615,180
616,180
617,180
618,180
619,180
620,180
